"Full Name", "Code Names", "Weapon", "Contact Info", "Age", "Price", "Rating", "Kills"
"Alexander Duggan", "The Jackal", "Sniper rifle", "jackal@gmail.com", 31, 45, 7.5, 28
"Anton Chigurh", "Old Man", "Pneumatic bolt gun", "pneujackcity@gmail.com", 52, 40, 9, 72
"", "Ghost Dog", "Pistol", "ghostdog@gmail.com", 28, 20, 6.5, 35
"Jason Bourne", "", "Parkour", "jb@gmail.com", 27, 25, 7, 48
"John Wick", "Baba Yaga", "Lots of guns", "babayaga@gmail.com", 35, 50, 9.5, 433
"Jules Winnfield", "", "Pistol", "bmf@gmail.com", 26, 15, 6.5, 13
"Leon", "The Professional", "Everything", "leon@gmail.com", 41, 30, 8.5, 87
"Nikita Mears", "Nikita", "Silenced pistols", "nikita@gmail.com", 28, 30, 7, 32
"Nikita Mears", "La Femme Nikita", "Silenced pistols", "nikita@gmail.com", 28, 30, 7, 32
"Pickle Rick", "Solenya", "Lasers and office supplies", "rsanchez@gmail.com", 60, 0, 8, 24 
